the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Shelter_ID,Corner,On_Street,Cross_Stre,Longitude,Latitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.92788257764688 40.692427745114536),3,Brooklyn,303,41,56,25,8,BR02231,NE,PATCHEN AV,LAFAYETTE AV,-73.927884,40.692436,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9557555736084 40.61037976184899),3,Brooklyn,315,48,45,22,9,BR02233,SW,E 18 ST,AV P,-73.955757,40.610388,Madison,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9478295701936 40.706803743075376),3,Brooklyn,301,34,53,18,7,BR0003,SE,MONTROSE AV,LORIMER ST,-73.947831,40.706812,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9451605700359 40.71908874054855),3,Brooklyn,301,34,50,18,7,BR0014,NE,GRAHAM AV,HERBERT ST,-73.945162,40.719097,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9457815717667 40.70296774339009),3,Brooklyn,301,34,53,18,7,BR0026,NE,BROADWAY,LEONARD ST,-73.945783,40.702976,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.94083457184558 40.72018674002151),3,Brooklyn,301,34,50,18,7,BR0028,SW,KINGSLAND AV,HERBERT ST,-73.940836,40.720195,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.96979356454533 40.69343174629426),3,Brooklyn,302,35,57,25,7,BR0040,NE,VANDERBILT AV,MYRTLE AV,-73.969795,40.69344,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99205455683718 40.68947974789384),3,Brooklyn,302,33,52,26,10,BR0049,NW,ATLANTIC AV,COURT ST,-73.992056,40.689488,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99267355760601 40.68987474778222),3,Brooklyn,302,33,52,26,10,BR0050,SE,ATLANTIC AV,COURT ST,-73.992675,40.689883,Brooklyn Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99148955714544 40.696782746256375),3,Brooklyn,302,33,52,26,10,BR0055,SW,Cadman Plz West,CLARK ST,-73.991491,40.696791,Brooklyn Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98756755870413 40.69024274722267),3,Brooklyn,302,33,52,26,10,BR0058,SE,LIVINGSTON ST,SMITH ST,-73.987569,40.690251,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96923756420944 40.68964174727511),3,Brooklyn,302,35,57,25,7,BR0062,NW,VANDERBILT AV,DEKALB AV,-73.969239,40.68965,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94537557257387 40.69026174570376),3,Brooklyn,303,36,56,25,8,BR0085,SW,TOMPKINS AV,LAFAYETTE AV,-73.945377,40.69027,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93494757590685 40.67939174745403),3,Brooklyn,303,36,56,20,8,BR0097,SE,TROY AV,FULTON ST,-73.934949,40.6794,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95526257004643 40.68096374838547),3,Brooklyn,303,36,57,25,8,BR0105,SE,FULTON ST,FRANKLIN AV,-73.955264,40.680972,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94329357303879 40.69612674459119),3,Brooklyn,303,36,56,25,8,BR0113,NE,MYRTLE AV,THROOP AV,-73.943295,40.696135,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.952317569679 40.695083745159856),3,Brooklyn,303,36,56,25,8,BR0131,NE,MYRTLE AV,NOSTRAND AV,-73.952319,40.695092,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.92361957854575 40.69942074355036),3,Brooklyn,304,37,53,18,7,BR0140,SW,WILSON AV,DEKALB AV,-73.923621,40.699429,Bushwick (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90936958347226 40.6914677442569),3,Brooklyn,304,37,54,18,7,BR0143,SE,WILSON AV,HALSEY ST,-73.909371,40.691476,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91111358251514 40.69934474331129),3,Brooklyn,304,37,53,18,7,BR0155,SW,PALMETTO ST,WYCKOFF AV,-73.911115,40.699353,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94232157290602 40.70085874358395),3,Brooklyn,301,33,53,18,7,BR0157,SE,BROADWAY,FLUSHING AV,-73.942323,40.700867,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.8718885968241 40.68173174532003),3,Brooklyn,305,37,54,18,7,BR0175,NW,ATLANTIC AV,CRESCENT ST,-73.87189,40.68174,Cypress Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94497857318359 40.6869147465888),3,Brooklyn,303,36,56,25,8,BR02000,NW,GATES AV,TOMPKINS AV,-73.94498,40.686923,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01817755234089 40.64058975841223),3,Brooklyn,307,38,51,17,10,BR02001,SE,60 ST,4 AV,-74.018179,40.640598,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00972955448688 40.635686758500974),3,Brooklyn,307,38,49,17,10,BR02003,NW,60 ST,8 AV,-74.009731,40.635695,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99338756255845 40.60217476448023),3,Brooklyn,311,47,47,17,11,BR02005,NE,BAY PKWY,86 ST,-73.993389,40.602183,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.99574256031116 40.613338762534504),3,Brooklyn,311,47,49,17,11,BR02010,NE,BAY RIDGE PKWY,18 AV,-73.995744,40.613347,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99965755919999 40.61548976222611),3,Brooklyn,311,43,49,17,11,BR02011,SE,BAY RIDGE PKWY,NEW UTRECHT AV,-73.999659,40.615498,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.01356055477163 40.61083776420209),3,Brooklyn,311,43,47,26,11,BR02012,SE,14 AV,BENSON AV,-74.013562,40.610846,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.00752655735128 40.610321763353014),3,Brooklyn,311,43,47,17,11,BR02013,NW,86 ST,16 AV,-74.007528,40.61033,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9937455616301 40.602159764712574),3,Brooklyn,311,47,47,17,11,BR02014,NW,BAY PKWY,86 ST,-73.993747,40.602168,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.96876057151924 40.579995768013596),3,Brooklyn,313,48,46,23,8,BR02015,SW,NEPTUNE AV,OCEAN PKWY,-73.968762,40.580004,Coney Island-Sea Gate,AE,,1
POINT (-73.95978257418842 40.5818057677528),3,Brooklyn,313,48,45,23,8,BR02016,SE,CONEY ISLAND AV,NEPTUNE AV,-73.959784,40.581814,Brighton Beach,AE,,1
POINT (-73.96079857367232 40.591297765607415),3,Brooklyn,315,48,45,22,8,BR02019,SW,CONEY ISLAND AV,AV X,-73.9608,40.591306,Gravesend (South),X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.94077857921191 40.59393876488273),3,Brooklyn,315,48,41,22,8,BR02020,NW,NOSTRAND AV,AV X,-73.94078,40.593947,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.96738157074715 40.6054087632593),3,Brooklyn,315,44,45,22,9,BR02021,SW,KINGS HWY,OCEAN PKWY,-73.967383,40.605417,Gravesend (East)-Homecrest,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93753058050379 40.600972763400875),3,Brooklyn,315,46,41,22,8,BR02022,NW,AV U,COYLE ST,-73.937532,40.600981,Madison,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.93300458180715 40.60004976304956),3,Brooklyn,315,46,41,22,8,BR02023,SE,GERRITSEN AV,AV V,-73.933006,40.600058,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.93075457844749 40.67064574934044),3,Brooklyn,308,36,55,20,9,BR02024,NE,ST JOHNS PL,UTICA AV,-73.930756,40.670654,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92316058050181 40.670228749282316),3,Brooklyn,308,41,55,20,9,BR02025,NW,ST JOHNS PL,RALPH AV,-73.923162,40.670237,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89484059025112 40.669350748388055),3,Brooklyn,305,42,60,19,8,BR02026,SE,SUTTER AV,Pennsylvania Av,-73.894842,40.669359,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89530158947547 40.66913374823485),3,Brooklyn,305,42,60,19,8,BR02027,SW,Pennsylvania Av,SUTTER AV,-73.895303,40.669142,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89406158994565 40.6643247495003),3,Brooklyn,305,42,60,19,8,BR02029,SW,Pennsylvania Av,LIVONIA AV,-73.894063,40.664333,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94168257920062 40.60051376344465),3,Brooklyn,315,46,41,22,8,BR02031,NE,AV U,NOSTRAND AV,-73.941684,40.600522,Madison,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95586157541487 40.587710766000306),3,Brooklyn,315,48,45,23,8,BR02032,SE,AV Z,E 13 ST,-73.955863,40.587719,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.90781658841495 40.61969775859901),3,Brooklyn,318,46,59,21,8,BR02033,NW,AV U,E 71 ST,-73.907818,40.619706,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.93201657780044 40.66361575030568),3,Brooklyn,309,41,43,20,9,BR02034,NW,EMPIRE BLVD,UTICA AV,-73.932018,40.663624,Crown Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86981659701846 40.673145746313025),3,Brooklyn,305,42,60,19,7,BR02035,NW,SUTTER AV,CRESCENT ST,-73.869818,40.673154,East New York-City Line,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.8884615914628 40.67030374802116),3,Brooklyn,305,42,60,19,8,BR02036,SE,SUTTER AV,HENDRIX ST,-73.888463,40.670312,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.89111259148979 40.66263074967495),3,Brooklyn,305,42,60,19,8,BR02037,SE,NEW LOTS AV,VERMONT ST,-73.891114,40.662639,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.87425859620144 40.66933274748859),3,Brooklyn,305,42,60,19,8,BR02038,NW,DUMONT AV,FOUNTAIN AV,-73.87426,40.669341,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.8970325882691 40.67827074645694),3,Brooklyn,305,37,54,19,7,BR0204,SE,JAMAICA AV,Pennsylvania Av,-73.897034,40.678279,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8930645905698 40.66158574971067),3,Brooklyn,305,42,60,19,8,BR02040,SW,Pennsylvania Av,NEW LOTS AV,-73.893066,40.661594,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.88139459382744 40.6668467479203),3,Brooklyn,305,42,60,19,8,BR02041,SE,NEW LOTS AV,ELTON ST,-73.881396,40.666855,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.8894575922504 40.663359748824256),3,Brooklyn,305,42,60,19,8,BR02042,SE,NEW LOTS AV,BRADFORD ST,-73.889459,40.663368,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.95257457305068 40.63338475717791),3,Brooklyn,314,45,42,21,9,BR02043,SE,GLENWOOD RD,BEDFORD AV,-73.952576,40.633393,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9176485845815 40.62455875757356),3,Brooklyn,318,46,59,21,8,BR02045,NE,RALPH AV,AV L,-73.91765,40.624567,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.913688585194 40.635375755678226),3,Brooklyn,318,46,59,19,8,BR02046,NW,FLATLANDS AV,E 80 ST,-73.91369,40.635384,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.94103457954625 40.58394176625039),3,Brooklyn,315,48,41,23,8,BR02047,NW,EMMONS AV,E 28 ST,-73.941036,40.58395,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.96001056656004 40.713706741433676),3,Brooklyn,301,34,50,59,7,BR02048,SW,DRIGGS AV,GRAND ST,-73.960012,40.713715,Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96065856723449 40.690364746222066),3,Brooklyn,302,35,57,25,7,BR02050,NW,DEKALB AV,CLASSON AV,-73.96066,40.690373,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93308457675644 40.67523374832394),3,Brooklyn,308,36,56,20,9,BR02052,NE,BERGEN ST,SCHENECTADY AV,-73.933086,40.675242,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93114257835968 40.67050274890336),3,Brooklyn,308,35,43,20,9,BR02054,SW,ST JOHNS PL,UTICA AV,-73.931144,40.670511,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94135957373634 40.677416748709014),3,Brooklyn,308,36,56,20,9,BR02055,NE,KINGSTON AV,PACIFIC ST,-73.941361,40.677425,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97861456232499 40.68790374769313),3,Brooklyn,302,35,57,26,7,BR02056,SW,FULTON ST,ASHLAND PL,-73.978616,40.687912,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86605459795693 40.68309274491569),4,Queens,409,32,38,15,7,BR02059,SE,ATLANTIC AV,ELDERT LANE,-73.866056,40.683101,Ozone Park (North),X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.86609159862047 40.67858974500948),3,Brooklyn,305,37,54,19,7,BR02060,SW,GRANT AV,LIBERTY AV,-73.866093,40.678598,East New York-City Line,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.87216959614199 40.6833587445645),3,Brooklyn,305,37,54,18,7,BR02061,SW,CRESCENT ST,FULTON ST,-73.872171,40.683367,Cypress Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93585857536944 40.68797674616327),3,Brooklyn,303,36,56,25,8,BR02064,NE,GATES AV,LEWIS AV,-73.93586,40.687985,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93741457455563 40.69304074491971),3,Brooklyn,303,36,56,25,8,BR02066,NW,DEKALB AV,LEWIS AV,-73.937416,40.693049,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98339855960951 40.699885745740566),3,Brooklyn,302,35,57,25,7,BR02068,NW,SANDS ST,GOLD ST,-73.9834,40.699894,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96365056607272 40.69001974666521),3,Brooklyn,302,35,57,25,7,BR02069,NW,DEKALB AV,RYERSON ST,-73.963652,40.690028,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94640157211388 40.695408745004364),3,Brooklyn,303,36,56,25,8,BR02070,SW,TOMPKINS AV,MYRTLE AV,-73.946403,40.695417,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97325756425784 40.67783574921945),3,Brooklyn,306,39,52,20,10,BR02071,SW,7 AV,FLATBUSH AV,-73.973259,40.677844,Prospect Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96035357204511 40.618040760618904),3,Brooklyn,314,44,48,22,9,BR02073,NW,AV M,E 15 ST,-73.960355,40.618049,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.97271856307431 40.693302746255746),3,Brooklyn,302,35,57,25,7,BR02074,NE,MYRTLE AV,CARLTON AV,-73.97272,40.693311,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.935887576037 40.67538574843344),3,Brooklyn,308,36,56,20,9,BR02076,NE,BERGEN ST,TROY AV,-73.935889,40.675394,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91407158478883 40.65668075151795),3,Brooklyn,317,42,58,19,9,BR02077,NW,CHURCH AV,E 98 ST,-73.914073,40.656689,East Flatbush-Remsen Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95097657324462 40.638510756408394),3,Brooklyn,317,45,42,21,9,BR02078,NE,FOSTER AV,ROGERS AV,-73.950978,40.638519,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.92371858117974 40.6563017515847),3,Brooklyn,317,41,58,19,9,BR02079,NE,REMSEN AV,LENOX RD,-73.92372,40.65631,East Flatbush-Remsen Village,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.90876958524474 40.66230675039552),3,Brooklyn,316,42,55,19,8,BR02080,SE,ROCKAWAY AV,LIVONIA AV,-73.908771,40.662315,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.91732658297182 40.668399748992876),3,Brooklyn,316,41,55,25,8,BR02081,SW,SARATOGA AV,PITKIN AV,-73.917328,40.668408,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.90357758585971 40.67779874643227),3,Brooklyn,316,37,55,25,8,BR02082,SW,FULTON ST,VAN SINDEREN AV,-73.903579,40.677807,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91704558258868 40.67134374905174),3,Brooklyn,316,41,55,25,9,BR02083,SW,SARATOGA AV,PARK PL,-73.917047,40.671352,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91372958378754 40.67518574788212),3,Brooklyn,316,41,55,25,8,BR02084,NE,Thomas Boyland St,DEAN ST,-73.913731,40.675194,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90718158658727 40.65614775146172),3,Brooklyn,316,42,60,19,8,BR02085,SE,ROCKAWAY AV,HEGEMAN AV,-73.907183,40.656156,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.9027525869741 40.665314748882274),3,Brooklyn,316,42,55,25,8,BR02086,NE,POWELL ST,DUMONT AV,-73.902754,40.665323,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89183959070404 40.66993774833955),3,Brooklyn,305,42,60,19,8,BR02087,NW,SUTTER AV,BRADFORD ST,-73.891841,40.669946,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.8813795940497 40.671480747234305),3,Brooklyn,305,42,54,19,8,BR02088,NW,SUTTER AV,ESSEX ST,-73.881381,40.671489,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.86961659769315 40.67304474667956),3,Brooklyn,305,42,60,19,8,BR02089,SW,SUTTER AV,CRESCENT ST,-73.869618,40.673053,East New York-City Line,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.96485856979635 40.62486775906702),3,Brooklyn,314,44,48,22,9,BR02090,NE,AV J,CONEY ISLAND AV,-73.96486,40.624876,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99296856012475 40.63431675872591),3,Brooklyn,312,44,48,22,10,BR02092,SW,13 AV,50 ST,-73.99297,40.634325,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94614056938404 40.7316187374144),3,Brooklyn,301,33,50,59,7,BR02093,NE,GREENPOINT AV,HUMBOLDT ST,-73.946142,40.731627,Greenpoint,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.95419256678268 40.7304367385927),3,Brooklyn,301,33,50,59,7,BR02094,NE,MANHATTAN AV,GREENPOINT AV,-73.954194,40.730445,Greenpoint,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.94014657213629 40.71596974107123),3,Brooklyn,301,34,53,18,7,BR02095,SW,KINGSLAND AV,SKILLMAN AV,-73.940148,40.715978,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93524957591454 40.67967774744979),3,Brooklyn,303,36,56,25,8,BR02098,NW,FULTON ST,LEWIS AV,-73.935251,40.679686,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98260355975333 40.69826774557609),3,Brooklyn,302,35,57,26,7,BR02102,SE,NASSAU ST,GOLD ST,-73.982605,40.698276,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.97940756103634 40.69341474661194),3,Brooklyn,302,35,57,26,7,BR02103,SW,MYRTLE AV,ASHLAND PL,-73.979409,40.693423,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.97199156636135 40.64976875484654),3,Brooklyn,307,39,44,20,10,BR02104,SW,CONEY ISLAND AV,CATON  PL,-73.971993,40.649777,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98321755956403 40.699674745708776),3,Brooklyn,302,33,57,25,7,BR02105,SW,SANDS ST,GOLD ST,-73.983219,40.699683,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96461156587043 40.703420744320425),3,Brooklyn,301,33,50,18,7,BR02106,NE,WYTHE AV,ROSS ST,-73.964613,40.703429,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.00280455422907 40.68459274872955),3,Brooklyn,306,39,51,26,10,BR02107,NE,COLUMBIA ST,UNION ST,-74.002806,40.684601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.93036757665301 40.68898974554665),3,Brooklyn,303,36,56,25,8,BR02108,SW,MALCOLM X BLVD,QUINCY ST,-73.930369,40.688998,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99041255774513 40.69334274644965),3,Brooklyn,302,33,52,26,10,BR02111,SE,COURT ST,MONTAGUE ST,-73.990414,40.693351,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99033855803297 40.6934927467905),3,Brooklyn,302,33,52,26,10,BR02112,SE,COURT ST,MONTAGUE ST,-73.99034,40.693501,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94408857120467 40.71326074141214),3,Brooklyn,301,34,50,18,7,BR02113,NE,GRAHAM AV,AINSLIE ST,-73.94409,40.713269,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91167458277687 40.70016474249097),3,Brooklyn,304,37,53,18,7,BR02115,NE,GATES AV,WYCKOFF AV,-73.911676,40.700173,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99046456340353 40.58880876752823),3,Brooklyn,313,43,46,23,8,BR02116,SW,CROPSEY AV,BAY 44 ST,-73.990466,40.588817,Gravesend (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-74.00790355326791 40.67474775148186),3,Brooklyn,306,38,51,26,10,BR02118,NW,LORRAINE ST,COLUMBIA ST,-74.007905,40.674756,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,AE,,1
POINT (-73.93256857632184 40.6838477468671),3,Brooklyn,303,36,56,25,8,BR02119,NW,HALSEY ST,STUYVESANT AV,-73.93257,40.683856,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87834959681759 40.643028752547636),3,Brooklyn,305,42,60,19,8,BR02120,NW,SEAVIEW AV,Pennsylvania Av,-73.878351,40.643037,Spring Creek-Starrett City,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.89318859100732 40.66214574963234),3,Brooklyn,305,42,60,19,8,BR02121,NE,Pennsylvania Av,NEW LOTS AV,-73.89319,40.662154,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,5
